,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
215,Middle School: The Worst Years of My Life,2016,PG,07 Oct 2016,92 min,"Comedy, Family",Steve Carr,"Chris Bowman (screenplay by), Hubbel Palmer (screenplay by), Kara Holden (screenplay by), James Patterson (based on the book by), Chris Tebbetts (based on the book by)","Griffin Gluck, Lauren Graham, Alexa Nisenson, Andrew Daly","After his principal (Andy Daly) destroys his sketchbook, Rafe (Griffin Gluck) and his best friend Leo (Thomas Barbusca) decide to ""destroy his book"" and break every rule in the school's Code of Conduct.","English, Khmer","USA, Cambodia",5 nominations.,https://m.media-amazon.com/images/M/MV5BNjQzMTczNjI0Ml5BMl5BanBnXkFtZTgwODY5MTY5OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.1,"7,058",tt4981636,movie,03 Jan 2017,"$19,985,196",James Patterson Entertainment,N/A,True,,
216,Please Like Me,2013–2016,TV-MA,28 Feb 2013,29 min,"Comedy, Drama, Romance",N/A,N/A,"Josh Thomas, Thomas Ward, John, Debra Lawrance","After breaking up with his girlfriend, Josh comes to the realization that he is homosexual. With the support of his now ex girlfriend Claire, and his best friend and house mate Tom, Josh ...",English,Australia,10 wins & 25 nominations.,https://m.media-amazon.com/images/M/MV5BZGI1NDA1NzUtZjYxZS00NGVjLWJmODYtMWQyYjhjNzdiYzNjXkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"12,755",tt2155025,series,,,,,True,4,
217,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
218,La última fiesta,2016,TV-MA,06 Oct 2016,104 min,Comedy,"Leandro Mark, Nicolás Silbert","Lucas Bucci, Nicolás Silbert, Tomas Sposato, Agustina Tracey","Benjamín Amadeo, Fabián Arenillas, César Bordón, Veronica Calvo","Alan, Dante and Pedro are three friends who grew up together from an early age. One of them ends a long relationship with his girlfriend and remains disconsolate. His two friends decide to lift his spirits by organizing a party.",Spanish,Argentina,2 nominations.,https://m.media-amazon.com/images/M/MV5BMjA4NTM1ZWUtZGJhYi00MmU2LTgwYzUtNzU2NjI1NTMxZjEzXkEyXkFqcGdeQXVyMjIzNTA3MjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,333,tt6074024,movie,N/A,N/A,N/A,N/A,True,,
219,"Michael Bolton's Big, Sexy Valentine's Day Special",2017,TV-MA,07 Feb 2017,54 min,"Comedy, Music, Musical, Romance","Scott Aukerman, Akiva Schaffer","Scott Aukerman, David Ferguson, Mike Hanford, Tim Kalpakis, Zach Kanin (additional material written by), Claudia O'Doherty (additional material written by), Tim Robinson (additional material written by), Joe Saunders","Michael Bolton, Sarah Shahi, Adam Scott, Matthew Kimbrough","After Santa tells Michael Bolton that he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a sexy telethon to get the world to start making love.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZDc1ZjQ4YjgtYzMxMS00M2FhLWI3ZTctMDdkOTM2MzNkZWRmXkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.7,"1,712",tt6343706,movie,07 Feb 2017,N/A,Netflix,N/A,True,,
220,Imperial Dreams,2014,N/A,01 Oct 2016,87 min,Drama,Malik Vitthal,"Ismet Prcic, Malik Vitthal","John Boyega, Rotimi, Glenn Plummer, De'aundre Bonds","A 21-year-old reformed gangster's devotion to his family and his future is put to the test when he is released from prison and returns to his old stomping grounds in Watts, Los Angeles.",English,USA,10 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BODA0NWJmMzEtNjQxNS00MjhmLTlhN2UtZThkYjJlNWY5MDgxL2ltYWdlXkEyXkFqcGdeQXVyNjk3MjA4NDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.8,"3,517",tt3331028,movie,03 Feb 2017,N/A,Netflix,N/A,True,,
221,My Little Pony: Equestria Girls - Legend of Everfree,2016,TV-Y7,01 Oct 2016,73 min,"Animation, Comedy, Family, Fantasy, Musical",Ishi Rudell,"Kristine Songco, Joanna Lewis","Tara Strong, Rebecca Shoichet, Ashleigh Ball, Andrea Libman","The students of Canterlot High come to a summer camp where there are odd counselors, strange phenomena and, hidden agendas.",English,"USA, Canada",1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNTNlYjE5ZTAtMDZjZS00ODk1LTk2N2EtMzcxZDE2NjBlODY3XkEyXkFqcGdeQXVyMTEwOTMwMjk0._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"1,001",tt5474644,movie,01 Nov 2016,N/A,DHX Media,N/A,True,,
222,Paris Is Burning,1990,R,01 Aug 1991,71 min,Documentary,Jennie Livingston,N/A,"Brooke Xtravaganza, André Christian, Dorian Corey, Paris Duprée","A chronicle of New York's drag scene in the 1980s, focusing on balls, voguing and the ambitions and dreams of those who gave the era its warmth and vitality.",English,USA,16 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNzk1ODAzNTQtYTQyOC00ZTcxLWE3Y2ItZmJhNGI2MGM5NjkwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,8.2,"11,255",tt0100332,movie,06 Sep 2005,N/A,Academy Entertainment,N/A,True,,
223,Sour Grapes,2016,TV-14,16 Sep 2016,85 min,Documentary,"Reuben Atlas, Jerry Rothwell",N/A,"Laurent Ponsot, Jay McInerney, Jefery Levy, Maureen Downey",Documentary about the fine and rare wine auction market centering around a counterfeiter who befriended the rich and powerful and sold millions of dollars of fraudulent wine through the top auction houses.,English,UK,2 wins.,https://m.media-amazon.com/images/M/MV5BMDNhZmI1ZDUtZDg5ZS00MmE1LWIzNWYtNGZiZjVkNTU5ZTI2XkEyXkFqcGdeQXVyNjA5NDU0Njk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",N/A,7.3,"3,336",tt5728684,movie,N/A,N/A,Met Film Production,N/A,True,,
224,Maroon,2016,Not Rated,N/A,94 min,Thriller,Pulkit,Pulkit,"Devyani Cm, Manav Kaul, Saurabh Sachdeva, Sarika Singh",An insomniac university professor fears as his wife has gone missing and is clueless resulting him driving Marooned in the house through the psychological traumas.,Hindi,India,2 nominations.,https://m.media-amazon.com/images/M/MV5BZGQzYmUyOTctMTFkMi00YWExLWEyM2YtNzM3MDlhZjhlNjg1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzM3MTM5MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,206,tt6118058,movie,N/A,N/A,N/A,N/A,True,,
225,Heroes Wanted,2016,N/A,26 Aug 2016,95 min,"Action, Comedy",Joaquín Mazón,"Cristóbal Garrido, Adolfo Valor","María León, Miki Esparbé, Jordi Sánchez, Andoni Agirregomezkorta",Agents from diverse Spanish local police forces are called to form a special team.,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BODg0YTM5NDQtZjhlNS00MWQ1LTk4N2UtZjU3NTAzOTUyMzExXkEyXkFqcGdeQXVyMTg0NTAyMzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,"1,619",tt4806012,movie,N/A,N/A,Mod Producciones,N/A,True,,
226,Bill Burr: Walk Your Way Out,2017,TV-MA,N/A,77 min,Comedy,Jay Karas,Bill Burr,Bill Burr,"Comedian Bill Burr takes the stage in Nashville and riffs on such topics as overpopulation, fast food, dictators and gorilla sign language.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMGYwNDE4MDItNjQwYi00NWIwLWJmYTYtY2I5NDEyMGUxNWMwL2ltYWdlXkEyXkFqcGdeQXVyMjUwMTM3MTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"5,289",tt6184894,movie,31 Jan 2017,N/A,Netflix,N/A,True,,
227,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
228,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
229,iBoy,2017,TV-MA,27 Jan 2017,90 min,"Action, Crime, Sci-Fi, Thriller",Adam Randall,"Joe Barton (screenplay), Joe Barton, Kevin Brooks (based on the novel by), Mark Denton, Jonny Stockwood","Bill Milner, Maisie Williams, Miranda Richardson, Rory Kinnear","After being shot, Tom wakes from a coma to discover that fragments of his smart phone have been embedded in his head, and worse, that returning to normal teenage life is impossible because he has developed a strange set of superpowers.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BNjQxODM2MDAyM15BMl5BanBnXkFtZTgwODc4MTE0MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.0,"18,447",tt3171832,movie,27 Jan 2017,N/A,Netflix,N/A,True,,
230,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
231,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
232,Gad Elmaleh: Part En Live,2017,N/A,24 Jan 2017,57 min,Comedy,Mario Rouleau,Gad Elmaleh,Gad Elmaleh,Netflix stand-up special that the well known comedian performed in Montreal in English,"French, English",France,N/A,https://m.media-amazon.com/images/M/MV5BOTBkYTYxOTctYWQ1YS00YmEyLTg4ZTctMDdhNDkyYjQ1NTgzXkEyXkFqcGdeQXVyNjg5MDYzNTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,258,tt6550440,movie,N/A,N/A,N/A,N/A,True,,
233,Cristela Alonzo: Lower Classy,2017,TV-MA,24 Jan 2017,66 min,Comedy,Marcus Raboy,Cristela Alonzo,Cristela Alonzo,She's no stranger to breaking glass ceilings. She's also not opposed to cleaning them.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjM3NGUxNDctNjQ0Ni00OWJlLTk5ODEtMGNkYWU2YWI1OGVmXkEyXkFqcGdeQXVyMzAyNDIwNzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,631,tt6550456,movie,24 Jan 2017,N/A,Netflix,N/A,True,,
234,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
235,Jim Gaffigan: Mr. Universe,2012,Unrated,11 Apr 2012,78 min,"Documentary, Comedy",Jay Karas,"Jim Gaffigan, Jeannie Gaffigan",Jim Gaffigan,"Jim Gaffigan does it again with his new stand-up Mr. Universe. Gaffigan jumps from topic to topic joking around with a varied number of topics. Some of the topics included are McDonalds, family, Disney World, and much more.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTE4NjU0NTYxM15BMl5BanBnXkFtZTcwMzAzMjA1OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"3,021",tt2273321,movie,N/A,N/A,N/A,N/A,True,,
236,Jim Gaffigan: King Baby,2009,TV-PG,29 Mar 2009,60 min,"Documentary, Comedy",Troy Miller,"Jim Gaffigan, Jeannie Gaffigan",Jim Gaffigan,"The greatly anticipated follow-up to the platinum-selling ""Beyond the Pale."" In this Austin performance that capped off his sold-out 2008 stand-up tour, Gaffigan does not let the audience ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjI3ODgwMDU2NF5BMl5BanBnXkFtZTgwMTczMzA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"2,104",tt1390471,movie,31 Mar 2009,N/A,N/A,N/A,True,,
237,My Führer,2007,N/A,11 Jan 2007,89 min,"Comedy, Drama, War",Dani Levy,Dani Levy,"Helge Schneider, Ulrich Mühe, Sylvester Groth, Adriana Altaras",The action comedy is set in 1944. Hitler appears in it as physically and mentally destroyed person who takes the advice of Goebbels in the actor-teacher of Jewish concentration camp for ...,"German, Hebrew, Yiddish",Germany,2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BYzgxZjExM2ItYTg0ZS00ODkyLTljYTktNTVlMTMyMWFkYmY4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzA3Njg4MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,"3,929",tt0780568,movie,19 Jan 2010,N/A,X Verleih,N/A,True,,
238,Caída del Cielo,2016,N/A,12 May 2016,75 min,"Comedy, Romance",Néstor Sánchez Sotelo,"Martín Blasco, Leonel D'Agostino, Nancy Giampaolo","Muriel Santa Ana, Peto Menahem, Héctor Díaz, Facundo Cardosi","Alejandro is on his patio and a woman's body falls down next to him. It's Julia and she is alive. Julia lives in the apartment just above Alejandro's, and from now on, these two phobic characters begin to connect their lonely lives.",Spanish,Argentina,N/A,https://m.media-amazon.com/images/M/MV5BYmE1ZGRkZWUtYmRmMS00ZTc3LWEyZWItOTBkNTQwZDY0YTM4XkEyXkFqcGdeQXVyNTE1MjQzMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,64,tt4991172,movie,N/A,N/A,N/A,N/A,True,,
239,Jim Gaffigan: Obsessed,2014,TV-14,27 Apr 2014,60 min,"Documentary, Comedy",Jay Chapman,"Jeannie Gaffigan, Jim Gaffigan",Jim Gaffigan,"Jim Gaffigan bursts back on the scene with this eagerly anticipated fourth comedy special. Dubbed the ""King of Clean Comedy"" by The Wall Street Journal, Jim's obsession with all things food...",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMjA1MDc3NzkyNl5BMl5BanBnXkFtZTgwNDYzNjM3MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.6,"1,772",tt3481550,movie,28 Apr 2014,N/A,N/A,N/A,True,,
240,Pink,2016,Not Rated,16 Sep 2016,136 min,"Drama, Thriller",Aniruddha Roy Chowdhury,"Shoojit Sircar (story), Aniruddha Roy Chowdhury (story), Ritesh Shah (story), Ritesh Shah (dialogue), Ritesh Shah (screenplay)","Taapsee Pannu, Amitabh Bachchan, Kirti Kulhari, Andrea Tariang","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.","Hindi, English",India,12 wins & 17 nominations.,https://m.media-amazon.com/images/M/MV5BNGI1MTI1YTQtY2QwYi00YzUzLTg3NWYtNzExZDlhOTZmZWU0XkEyXkFqcGdeQXVyMDkwNTkwNg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.2,"34,720",tt5571734,movie,N/A,N/A,NH Studioz,N/A,True,,
241,Take the 10,2017,N/A,20 Jan 2017,80 min,Comedy,Chester Tam,Chester Tam,"Josh Peck, Tony Revolori, Kevin Corrigan, Chester Tam","A day in the life of two best friends, a drug dealer, and a store manager collide at a hip-hop concert in the Inland Empire.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BN2E1YmYwOTAtMjdkNS00ZGJjLTk3MmQtYzZkNWQwNmM0Mjg5L2ltYWdlXkEyXkFqcGdeQXVyMzMxODMxNjk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,"2,483",tt5792472,movie,20 Jan 2017,N/A,Netflix,N/A,True,,
242,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
243,Neal Brennan: 3 Mics,2017,TV-MA,17 Jan 2017,65 min,Comedy,Neal Brennan,Neal Brennan,Neal Brennan,"Neal Brennan is taking multitasking to a whole new level in this stand up special, which features the comedian switching between three different microphones symbolizing three different styles of comedy.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BM2NhZDRiODEtZDRhMS00Yzk4LWEzNDUtZDQ2ZWUwMjQ2NTM1L2ltYWdlXkEyXkFqcGdeQXVyNDA2NzI3NjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.9,"2,332",tt6438918,movie,17 Jan 2017,N/A,Netflix,N/A,True,,
244,The Expendables 2,2012,R,17 Aug 2012,103 min,"Action, Adventure, Thriller",Simon West,"Richard Wenk (screenplay), Sylvester Stallone (screenplay), Ken Kaufman (story), David Agosto (story), Richard Wenk (story), Dave Callaham (characters)","Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren","Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",English,"USA, Germany",4 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BNDg1YWRhNmQtMGI5Ny00MTI3LTg2OTItZWEzZGE3OGZjZDNhXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.6,"284,293",tt1764651,movie,20 Nov 2012,"$85,017,401",Lionsgate,N/A,True,,
245,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
246,Berlin Calling,2008,N/A,02 Oct 2008,100 min,"Comedy, Drama, Music",Hannes Stöhr,Hannes Stöhr,"Paul Kalkbrenner, Rita Lengyel, Corinna Harfouch, Araba Walton",A man tours clubs around the globe with his manager and girlfriend. On the eve of their largest album release he is admitted to a psychiatric clinic after overdosing at a gig.,German,Germany,5 nominations.,https://m.media-amazon.com/images/M/MV5BM2Q5MGQ2NTctM2MzZC00NjRiLTliNjEtZmE2NjFlNTY4ZTk3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzA3Njg4MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"12,726",tt0211946,movie,N/A,N/A,N/A,N/A,True,,
247,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
248,Hostage to the Devil,2016,N/A,17 Jan 2017,90 min,"Documentary, Biography, History, Horror, Mystery",Marty Stalker,"Rachel Lysaght, Marty Stalker","Malachi Martin, Eugene O'Neill, Robert Blair Kaiser, Robert Marro","A child possessed. An exorcist locked in combat with an ancient evil. In the battle for saving a soul, just who really is the 'Hostage to the Devil'?",English,"Ireland, UK, Italy, USA",N/A,https://m.media-amazon.com/images/M/MV5BMjI0MjM5OTQ3OV5BMl5BanBnXkFtZTgwNDg4NzgwMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,900,tt2652948,movie,N/A,N/A,N/A,N/A,True,,
249,Stereo,2014,N/A,15 May 2014,98 min,"Crime, Thriller",Maximilian Erlenwein,Maximilian Erlenwein (screenplay),"Jürgen Vogel, Moritz Bleibtreu, Petra Schmidt-Schaller, Georg Friedrich","The appearance of a mysterious, hooded man evokes Erik's sinister past.","German, Russian",Germany,5 nominations.,https://m.media-amazon.com/images/M/MV5BMjI1MDc1NTg0NV5BMl5BanBnXkFtZTgwNzAxOTgwMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"4,196",tt3348102,movie,N/A,N/A,Frisbeefilms,N/A,True,,
250,Sarajevo,2014,N/A,N/A,98 min,"Drama, History, War","Kurt Mündl, Andreas Prochaska","Martin Ambrosch, Kurt Mündl","Radek Balcárek, Christoph Bittenauer, Tereza Blazková, Mateusz Dopieralski","On June 28, 1914, Archduke Franz Ferdinand of Austria is in Sarajevo with his wife, Sophie. While through the city by car, they are victims of an attack and die. This is the trigger of the First World War.","Serbo-Croatian, German","Austria, Czech Republic",5 nominations.,https://m.media-amazon.com/images/M/MV5BYjU5Y2Y2ZWEtZTdiYS00ZDJiLTllOGItNDY4ZDljMGI1NTIzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjIxMzMyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"1,622",tt3691446,movie,N/A,N/A,N/A,N/A,True,,
251,Casablancas: The Man Who Loved Women,2016,N/A,29 Jun 2016,89 min,Documentary,Hubert Woroniecki,N/A,"John Casablancas, Woody Allen, James Brady, Christie Brinkley",The rise and smash success of Elite modeling agency founder John Casablancas is chronicled in this biography of the man who invented the supermodel.,English,France,N/A,https://m.media-amazon.com/images/M/MV5BMWE1YTNhOGYtMTRiZC00YTZiLWIyMTEtNmNlOGVjMjE4YjM4XkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,181,tt5078372,movie,N/A,N/A,N/A,N/A,True,,
252,So Young,2013,N/A,26 Apr 2013,131 min,Drama,Wei Zhao,"Qiang Li (screenplay), Yiwu Xin (novel)","Mark Chao, Geng Han, Zishan Yang, Shuying Jiang","A college freshman encounters new friends, romance, and adventure upon her arrival at campus.","Mandarin, English",China,12 wins & 26 nominations.,https://m.media-amazon.com/images/M/MV5BNzQwNWU3N2EtYWQyOS00OWE5LWJkMTctZTc5ZDVmMDlkZTE0XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"1,822",tt2765340,movie,N/A,N/A,China Lion Films,N/A,True,,
253,Clinical,2017,N/A,13 Jan 2017,104 min,"Horror, Thriller",Alistair Legrand,"Luke Harvis, Alistair Legrand","Vinessa Shaw, Kevin Rahm, India Eisley, Aaron Stanford","A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjMzNTkwNzMyMF5BMl5BanBnXkFtZTgwNTg2MzIxMTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,"5,883",tt5577742,movie,13 Jan 2017,N/A,Campfire Films,N/A,True,,
254,Very Big Shot,2015,N/A,08 Jul 2016,107 min,"Action, Crime, Drama, Thriller",Mir-Jean Bou Chaaya,"Mir-Jean Bou Chaaya, Alain Saadeh","Alain Saadeh, Fouad Yammine, Wissam Fares, Tarek Yaacoub","Intending to smuggle drugs across the borders, a small-time Lebanese drug-dealer slyly manipulates public opinion with the help of an underrated filmmaker.","Arabic, English, French","Lebanon, Qatar",4 wins & 14 nominations.,https://m.media-amazon.com/images/M/MV5BMTk5MDgxNTY1OV5BMl5BanBnXkFtZTgwMDgzOTU5NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"1,150",tt4971824,movie,N/A,N/A,Netflix,N/A,True,,
255,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
256,Jim Gaffigan: Cinco,2017,TV-14,N/A,73 min,Comedy,Jeannie Gaffigan,"Jim Gaffigan, Jeannie Gaffigan","Jim Gaffigan, Marre Gaffigan, Katie Gaffigan, Jack Gaffigan",The king of clean comedy returns for his fifth hour long comedy special.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYzM5N2YyODQtZTkyMC00ZGVhLWJmZmYtZTI3ZGM2ODAzMzA1L2ltYWdlXkEyXkFqcGdeQXVyMzcwMjcwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",N/A,7.0,"1,835",tt6090102,movie,10 Jan 2017,N/A,Netflix,N/A,True,,
257,Under the Shadow,2016,PG-13,07 Oct 2016,84 min,"Drama, Horror, Thriller, War",Babak Anvari,Babak Anvari,"Narges Rashidi, Avin Manshadi, Bobby Naderi, Arash Marandi","As a mother and daughter struggle to cope with the terrors of the post-revolution, war-torn Tehran of the 1980s, a mysterious evil begins to haunt their home.",Persian,"UK, Jordan, Qatar, Iran",Won 1 BAFTA Film Award. Another 19 wins & 19 nominations.,https://m.media-amazon.com/images/M/MV5BMjIwMjQwMDU2OV5BMl5BanBnXkFtZTgwNzMwMDg2OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,6.9,"21,068",tt4273292,movie,10 Jan 2017,"$25,832",Wigwam Films,N/A,True,,
